# Number of Traces
   9684
# TraceId; FractureId1; FractureId2; X1; Y1; Z1; X2; Y2; Z2
  253; 2; 53; 0.12158; 0.499638; 0.138833; 0.684229; 0.355245; 0.691709
  254; 2; 54; 0.534833; 0.0539186; 0.0340711; -0.352363; 1.33986; 0.753848
  255; 2; 55; 0.383083; 0.315908; 0.220405; 0.523378; 0.78604; 1.11946
  256; 2; 57; 0.576959; 0.424032; 0.648353; 0.247792; 0.842359; 0.826996
  257; 2; 58; 0.621723; 0.105812; 0.231033; 0.421377; 0.60315; 0.704807
  258; 2; 61; 0.501805; 0.484797; 0.636885; -0.247876; 1.31527; 0.859853
  259; 2; 62; -0.0961987; 0.842593; 0.356567; 0.193987; 0.926247; 0.879522
  260; 2; 65; 1.35179; -0.489665; 0.334635; 0.618282; 0.557688; 0.905917
  261; 2; 67; 0.453406; 0.37999; 0.413022; 0.66207; 0.58059; 1.00029
  262; 2; 68; 0.298175; 0.393175; 0.220405; 0.561846; 0.410758; 0.607707
  263; 2; 69; 0.11327; 0.877306; 0.69545; 0.308895; 0.90198; 1.00029
  264; 2; 70; 0.365033; 0.332334; 0.220405; 0.446696; 0.281026; 0.255004
  265; 2; 71; -0.0821534; 0.844945; 0.379326; -0.226005; 1.15162; 0.64368
  266; 2; 72; 0.323054; 0.889095; 1.00029; 0.55041; 0.369233; 0.529603
  267; 2; 73; -0.104548; 0.545929; -0.101025; 0.452009; 0.771746; 1.00029
  268; 2; 74; 0.299283; 0.392168; 0.220405; 0.466941; 0.303273; 0.31617
  269; 2; 75; 0.201657; 0.547593; 0.320546; 0.0990288; 0.993138; 0.850163
  270; 2; 76; -0.0593355; 0.718511; 0.220405; 0.234857; 0.978648; 1.01427
  271; 2; 77; -0.376055; 1.31383; 0.682266; 0.745245; 0.239217; 0.600716
  272; 2; 78; 0.586759; 0.510693; 0.792098; 0.604767; 0.454729; 0.732576
  273; 2; 79; 0.656472; 0.0810595; 0.241363; 0.596912; 0.694342; 1.08219
  274; 2; 80; 0.0269611; 0.639981; 0.220405; 0.641204; 0.35116; 0.626682
  275; 2; 81; -0.524487; 1.15072; 0.233814; 0.61873; 0.470073; 0.774763
  276; 2; 82; 0.622957; 0.616183; 1.00029; 0.508413; 0.348846; 0.441466
  277; 2; 83; 0.126462; 0.549435; 0.220405; 0.761446; 0.715419; 1.33907
  278; 2; 84; 0.217248; 0.466819; 0.220405; 0.6107; 0.461249; 0.750502
  279; 2; 85; 0.376363; 0.322024; 0.220405; 0.360239; 0.855256; 1.00029
  280; 2; 87; 0.280225; 0.40951; 0.220405; 0.682684; 0.540352; 0.967985
  281; 2; 88; 0.0201436; 0.646185; 0.220405; 0.563712; 0.670096; 1.00029
